姓名:student1, 國文:65, 英文:4, 數學:37, 歷史:84, 健康:14
姓名:student2, 國文:76, 英文:58, 數學:18, 歷史:78, 健康:55
姓名:student3, 國文:47, 英文:5, 數學:67, 歷史:37, 健康:53
姓名:student4, 國文:95, 英文:31, 數學:32, 歷史:90, 健康:2
姓名:student5, 國文:13, 英文:59, 數學:36, 歷史:51, 健康:43
姓名:student6, 國文:91, 英文:19, 數學:59, 歷史:70, 健康:17
姓名:student7, 國文:21, 英文:35, 數學:91, 歷史:70, 健康:32
姓名:student8, 國文:99, 英文:53, 數學:5, 歷史:60, 健康:67
姓名:student9, 國文:60, 英文:72, 數學:81, 歷史:71, 健康:49
姓名:student10, 國文:33, 英文:38, 數學:11, 歷史:75, 健康:93
姓名:student11, 國文:9, 英文:91, 數學:71, 歷史:11, 健康:27
姓名:student12, 國文:97, 英文:96, 數學:3, 歷史:73, 健康:80
姓名:student13, 國文:44, 英文:69, 數學:21, 歷史:64, 健康:25
姓名:student14, 國文:49, 英文:6, 數學:26, 歷史:47, 健康:80
姓名:student15, 國文:43, 英文:26, 數學:97, 歷史:7, 健康:10
姓名:student16, 國文:84, 英文:28, 數學:65, 歷史:72, 健康:63
姓名:student17, 國文:25, 英文:51, 數學:15, 歷史:68, 健康:84
姓名:student18, 國文:61, 英文:22, 數學:97, 歷史:14, 健康:82
姓名:student19, 國文:53, 英文:76, 數學:50, 歷史:41, 健康:59
姓名:student20, 國文:80, 英文:17, 數學:56, 歷史:56, 健康:73
姓名:student21, 國文:40, 英文:48, 數學:88, 歷史:15, 健康:40
姓名:student22, 國文:19, 英文:49, 數學:27, 歷史:69, 健康:98
姓名:student23, 國文:26, 英文:84, 數學:31, 歷史:80, 健康:9
姓名:student24, 國文:14, 英文:73, 數學:98, 歷史:53, 健康:40
姓名:student25, 國文:94, 英文:78, 數學:29, 歷史:6, 健康:97
姓名:student26, 國文:78, 英文:26, 數學:23, 歷史:5, 健康:67
姓名:student27, 國文:87, 英文:23, 數學:80, 歷史:64, 健康:31
姓名:student28, 國文:1, 英文:49, 數學:1, 歷史:45, 健康:17
姓名:student29, 國文:94, 英文:84, 數學:80, 歷史:58, 健康:14
姓名:student30, 國文:16, 英文:41, 數學:23, 歷史:26, 健康:54
姓名:student31, 國文:51, 英文:45, 數學:90, 歷史:70, 健康:21
姓名:student32, 國文:75, 英文:24, 數學:19, 歷史:18, 健康:22
姓名:student33, 國文:36, 英文:11, 數學:75, 歷史:29, 健康:29
姓名:student34, 國文:53, 英文:87, 數學:4, 歷史:65, 健康:2
姓名:student35, 國文:77, 英文:15, 數學:87, 歷史:83, 健康:33
姓名:student36, 國文:67, 英文:44, 數學:73, 歷史:55, 健康:65
姓名:student37, 國文:5, 英文:83, 數學:92, 歷史:28, 健康:75
姓名:student38, 國文:65, 英文:7, 數學:31, 歷史:14, 健康:83
姓名:student39, 國文:83, 英文:52, 數學:17, 歷史:14, 健康:63
姓名:student40, 國文:59, 英文:86, 數學:29, 歷史:1, 健康:81
姓名:student41, 國文:48, 英文:53, 數學:68, 歷史:67, 健康:13
姓名:student42, 國文:30, 英文:46, 數學:71, 歷史:46, 健康:32
姓名:student43, 國文:98, 英文:31, 數學:72, 歷史:95, 健康:90
姓名:student44, 國文:8, 英文:37, 數學:24, 歷史:96, 健康:29
姓名:student45, 國文:89, 英文:97, 數學:77, 歷史:4, 健康:95
姓名:student46, 國文:23, 英文:61, 數學:73, 歷史:5, 健康:9
姓名:student47, 國文:4, 英文:28, 數學:53, 歷史:5, 健康:22
姓名:student48, 國文:62, 英文:45, 數學:60, 歷史:5, 健康:5
姓名:student49, 國文:67, 英文:99, 數學:58, 歷史:61, 健康:26
姓名:student50, 國文:42, 英文:25, 數學:82, 歷史:35, 健康:9
